msd_en	features_en	msd_sl	features_sl	types	tokens	examples
Ncmsn	Noun Type=common Gender=masculine Number=singular Case=nominative	Somei	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=imenovalnik	52038	38555127	del, predsednik, foto, film, eur/EUR
Ncmsg	Noun Type=common Gender=masculine Number=singular Case=genitive	Somer	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=rodilnik	30621	21607844	časa/čas, sveta/svet, zakona/zakon, denarja/denar, odstotka/odstotek
Ncmsd	Noun Type=common Gender=masculine Number=singular Case=dative	Somed	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=dajalnik	17207	1400728	predsedniku/predsednik, svetu/svet, bogu/bog, človeku/človek, koncu/konec
Ncmsan	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=no	Sometn	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=tožilnik živost=ne	14818	14802671	dan, čas, način, primer, teden
Ncmsay	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=yes	Sometd	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=tožilnik živost=da	7491	939621	otroka/otrok, predsednika/predsednik, človeka/človek, župana/župan, moškega/moški
Ncmsl	Noun Type=common Gender=masculine Number=singular Case=locative	Somem	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=mestnik	21954	12100533	času/čas, svetu/svet, koncu/konec, primeru/primer, začetku/začetek
Ncmsi	Noun Type=common Gender=masculine Number=singular Case=instrumental	Someo	samostalnik vrsta=občno_ime spol=moški število=ednina sklon=orodnik	19496	4697829	naslovom/naslov, časom/čas, zakonom/zakon, začetkom/začetek, koncem/konec
Ncmdn	Noun Type=common Gender=masculine Number=dual Case=nominative	Somdi	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=imenovalnik	15501	366240	sodnika/sodnik, starša/starš, zakonca/zakonec, brata/brat, člana/član
Ncmdg	Noun Type=common Gender=masculine Number=dual Case=genitive	Somdr	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=rodilnik	15401	33116	bratov/brat, mesecev/mesec, spolov/spol, zadetkov/zadetek, sinov/sin
Ncmdd	Noun Type=common Gender=masculine Number=dual Case=dative	Somdd	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=dajalnik	15430	33273	otrokoma/otrok, mesecema/mesec, staršema/starš, zakoncema/zakonec, bratoma/brat
Ncmda	Noun Type=common Gender=masculine Number=dual Case=accusative	Somdt	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=tožilnik	15458	247385	meseca/mesec, dni/dan, tedna/teden, milijona/milijon, odstotka/odstotek
Ncmdl	Noun Type=common Gender=masculine Number=dual Case=locative	Somdm	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=mestnik	15432	48510	mesecih/mesec, primerih/primer, tednih/teden, delih/del, nizih/niz
Ncmdi	Noun Type=common Gender=masculine Number=dual Case=instrumental	Somdo	samostalnik vrsta=občno_ime spol=moški število=dvojina sklon=orodnik	15439	127259	tednoma/teden, spoloma/spol, otrokoma/otrok, goloma/gol, mesecema/mesec
Ncmpn	Noun Type=common Gender=masculine Number=plural Case=nominative	Sommi	samostalnik vrsta=občno_ime spol=moški število=množina sklon=imenovalnik	20262	10861218	ljudje/človek, otroci/otrok, člani/član, policisti/policist, predstavniki/predstavnik
Ncmpg	Noun Type=common Gender=masculine Number=plural Case=genitive	Sommr	samostalnik vrsta=občno_ime spol=moški število=množina sklon=rodilnik	19112	14906079	evrov/evro, tolarjev/tolar, ljudi/človek, odstotkov/odstotek, milijonov/milijon
Ncmpd	Noun Type=common Gender=masculine Number=plural Case=dative	Sommd	samostalnik vrsta=občno_ime spol=moški število=množina sklon=dajalnik	15709	1303221	ljudem/človek, otrokom/otrok, uporabnikom/uporabnik, članom/član, staršem/starš
Ncmpa	Noun Type=common Gender=masculine Number=plural Case=accusative	Sommt	samostalnik vrsta=občno_ime spol=moški število=množina sklon=tožilnik	16785	7077242	otroke/otrok, ljudi/človek, podatke/podatek, dni/dan, stroške/strošek
Ncmpl	Noun Type=common Gender=masculine Number=plural Case=locative	Sommm	samostalnik vrsta=občno_ime spol=moški število=množina sklon=mestnik	16168	3246092	dneh/dan, mesecih/mesec, podatkih/podatek, primerih/primer, prostorih/prostor
Ncmpi	Noun Type=common Gender=masculine Number=plural Case=instrumental	Sommo	samostalnik vrsta=občno_ime spol=moški število=množina sklon=orodnik	16053	2547005	dnevi/dan, ljudmi/človek, otroki/otrok, prijatelji/prijatelj, pogoji/pogoj
Ncfsn	Noun Type=common Gender=feminine Number=singular Case=nominative	Sozei	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=imenovalnik	32517	24893096	vlada, država, cena, skupina, večina
Ncfsg	Noun Type=common Gender=feminine Number=singular Case=genitive	Sozer	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=rodilnik	28297	25596004	države/država, vlade/vlada, občine/občina, družbe/družba, skupine/skupina
Ncfsd	Noun Type=common Gender=feminine Number=singular Case=dative	Sozed	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=dajalnik	19854	857489	vladi/vlada, državi/država, mami/mama, sreči/sreča, sliki/slika
Ncfsa	Noun Type=common Gender=feminine Number=singular Case=accusative	Sozet	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=tožilnik	25011	21257811	pomoč, soboto/sobota, voljo/volja, pot, vlogo/vloga
Ncfsl	Noun Type=common Gender=feminine Number=singular Case=locative	Sozem	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=mestnik	22995	15976846	strani/stran, uri/ura, podlagi/podlaga, tekmi/tekma, zvezi/zveza
Ncfsi	Noun Type=common Gender=feminine Number=singular Case=instrumental	Sozeo	samostalnik vrsta=občno_ime spol=ženski število=ednina sklon=orodnik	20630	4396583	pomočjo/pomoč, vodo/voda, vojno/vojna, glavo/glava, zmago/zmaga
Ncfdn	Noun Type=common Gender=feminine Number=dual Case=nominative	Sozdi	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=imenovalnik	18637	158779	ribi/riba, državi/država, tretjini/tretjina, stranki/stranka, skupini/skupina
Ncfdg	Noun Type=common Gender=feminine Number=dual Case=genitive	Sozdr	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=rodilnik	18684	30322	strani/stran, držav/država, strank/stranka, tekem/tekma, tretjin/tretjina
Ncfdd	Noun Type=common Gender=feminine Number=dual Case=dative	Sozdd	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=dajalnik	18573	4033	prijateljicama/prijateljica, hčerkama/hčerka, ekipama/ekipa, slikama/slika, deklicama/deklica
Ncfda	Noun Type=common Gender=feminine Number=dual Case=accusative	Sozdt	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=tožilnik	18648	258411	uri/ura, žlici/žlica, točki/točka, minuti/minuta, strani/stran
Ncfdl	Noun Type=common Gender=feminine Number=dual Case=locative	Sozdm	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=mestnik	18576	44976	straneh/stran, tekmah/tekma, državah/država, smereh/smer, minutah/minuta
